cod_departamento;cod_municipio;cod_postal;limite
11;001;111931;Cl 69A S  Y  69B S-Kr 40- 42 Y 45B-Ac Villavicencio-Kr 75C
11;001;111941;Kr 40- 42 Y 45B-Kr 18Z  Y  19D-Ac Villavicencio-M. Soacha
11;001;111951;Tv 28 Y Kr 19D-K 24-18I-18C-Tv 17N-D64Abis S Y Cl 63 S-Rio Tunjuelito Y Cl 59B S-M. Soacha
11;001;111961;Dg 67A S  Y  Cl 63 S-Cl 97 S-Rio Tunjuelito-Kr  24
11;001;111971;Cl  97 S-Barrio Muchuelo Alto Rural-Rio Tunjuelito-M. Soacha
11;001;111981;Vedera Pasquilla-Rio Chisac√Å-Rio Tunjuelito-M. Soacha
11;001;112011;Vereda El Tabaco-Rio Chochal-Rio Tabaco-M. Pasca- Arbela. Y San Ber.
11;001;112021;Vereda Las Animas-Municipio De Cubarral-Vereda Los Rios-Vereda Las Sopas
11;001;112031;Vereda San Antonio-Quebrada El Tunal-Vereda Las Vegas-Rio Pilar
11;001;112041;Quebrada El Tunal-Vereda San Jose-Municipio  Cubarral-Rio Sumapaz
13;001;130001;Cl  32 Y 30-Mar Caribe-Dg  22-Mar Caribe
13;001;130002;Mar Caribe-Cl 60 Y Kr 17-Mar Caribe-Mar Caribe
13;001;130003;Kr  17-Cl  33 Y 32-Mar Caribe-Kr  17
13;001;130004;Mar Caribe-Cl  30 Y 31-Kr  60B-Kr  30
13;001;130005;Mar Caribe-Dg 31 Y Tv 53-Cl  33-Kr  0  Y  60B
13;001;130006;Mar Caribe-Limite Urbano-Limite Urbano-Cl  33
13;001;130007;Mar Caribe-Rio-M. Santa Catalina-Mar Caribe
13;001;130008;Rio-Limite Urbano-M. Santa Rosa-Limite Urbano Y Mar Caribe
13;001;130009;Limite Urbano-Municipio Turbana-M. Turbaco Y Turbana-Mar Caribe
13;001;130011;Tv  53-Cl  15-Cl  31-Dg  30
13;001;130012;Cl  15-Limite Urbano-M. Turbaco-Cl 0  Y  Kr 0
13;001;130013;Tv  54-Limite Urbano-Cl 0  Y  Kr 0-Mar Caribe
13;001;130014;Cl 31 Y Ac 31-Tv 0  Y  Tv 54-Dg  31-Tv 50 Y Dg 30
13;001;130015;Cl  30 Y 31-Tv  54-Dg 30 Y Tv 50-Dg  22
13;001;130017;Mar Caribe-M. San Onofre-Municipio Turbana-Mar Caribe
13;001;130018;Mar Caribe-Mar Caribe-Mar Caribe-Mar Caribe
13;001;130019;Mar Caribe-Mar Caribe-Mar Caribe-Mar Caribe
13;001;130027;Mar Caribe-Mar Caribe-Mar Caribe-Mar Caribe
13;673;130501;Kr 11-Limite Urbano-Limite Urbano-Cl 8
13;673;130507;Mar Caribe-Via Sta. Catalina-Arroyo Grande-Mpio. Piojo Y Luruaco-Mar Caribe
13;673;130508;Via Sta. Catalina-Arroyo Grande-Municipio Clemencia-Mpio. Luruaco Y Repel√Ìn-M. Cartagena Y Clemencia
13;222;130517;Municipio Santa Catalina-M. Sta. Rosa Y Villanueva-Municipio Santa Catalina-Municipio Cartagena
13;683;130527;Arroyo Tabacal-Municipio Turbaco-Municipio Villanueva-Municipio Cartagena
13;683;130528;Municipio Clemencia-Arroyo Tabacal-Municipio Villanueva-Municipio Cartagena
13;873;130537;Mpio. Clemencia Y Repel√Ìn-Municipio Turbaco-Mpio. San Estanislao-Mpio. Santa Rosa
13;647;130547;M. Villanueva Y Repel√Ìn-Mpio. Arjona Y Mahates-Municipio Soplaviento-Mpio. Villanueva Y Turbaco
13;836;131001;Limite Urbano-Limite Urbano-Limite Urbano-Limite Urbano
13;836;131007;Mpio. Santa Rosa-Via Turbana - Ca√Ëaveral-Via Ca√Ëaveral-Villanueva-Municipio Cartagena
13;836;131008;Via Turbana-Villanueva-Municipio Arjona-M. Villanueva Y San Estanislao-Municipio Turbana
13;838;131017;Municipio Turbaco-Mpio. Cartagena Y Arjona-Municipio Ajona-Municipio Cartagena
13;052;131027;Municipio Turbaco-Via B/Quilla-Sincelejo-M. San Estanis. Y Mahates-Municipio Turbana
13;052;131028;Via B/Quilla-Sincelejo-Municipio Maria La Baja-Municipio Mahates-Via Arjona - Correa
13;052;131029;Municipio Turbana-Mpio. Ma. La Baja Y San Onofre-Via Arjona - Correa-Municipio San Onofre
13;433;131047;M. San Estanislao Y Soplaviento-Via San Cayetano-Sincerin-M. Arroyohondo Y Calamar-Municipio Arjona
13;433;131048;Via San Cayetano-Sincerin-Municipio Maria La Baja-M. San Juan Nepomuceno-Municipio Arjona
13;442;131067;M. Arjona Y Mahates-R√Ço Permanente Y Cien. Ma. La Baja-M. San Juan Nepomuceno-Via Flamenco - Correa
13;442;131068;R√Ço Permanente Y Cien. Ma. La Baja-Via Malagana-Palo Alto-Via Matuya - El Sena-Via Flamenco-Retiro Nuevo
13;442;131069;Via Manpujan - El Sena-M. San Onofre Y San Jacinto-M. San Juan Nepomuceno-Via Pueblo Nuevo-El Sena
13;442;131077;Municipio Arjona-Municipio San Onofre-Via Pueblo Nuevo-Correa-Municipio San Onofre
13;760;131501;Kr 33-Kr 10 S-Cl 24-Cl 1
13;760;131507;Municipio Repel√Ìn-Municipio Mahates-M. San Cristobal Y Calamar-Mpio. San Estanislao
13;620;131527;Municipio Repel√Ìn-M. Soplaviento Y Calamar-M. Manat√Ç Y Santa Lucia-Municipio Soplaviento
13;140;131547;Municipio San Cristobal-M. Arroyohondo Y Via Sato-Suan-M. Santa Lucia Y Suan-M. Arroyohondo Y Soplaviento
